"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"162","특정고압가스업","09_28_14_P","3390000","2019339009112200010","20190612","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 감전동 953-21번지 남양철강","부산광역시 사상구 장인로17번길 12, 남양철강 (감전동)","47028","남양철강","20190612152654","I","2019-06-14 02:21:30.0","","379627.167664982","184610.528161231","소재 절단용","용기(168kg*4통)에 보관 사용","2000","7","",
"163","특정고압가스업","09_28_14_P","3390000","2019339009112200012","20190712","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 삼락동 389-14번지 비에스엘레이저","부산광역시 사상구 낙동대로1356번길 86, 비에스엘레이저 (삼락동)","46909","비에스엘","20190712144650","I","2019-07-14 02:21:36.0","","380362.135919897","188575.84415181","소재 절단용","용기(168.27kg*5통) 보관 사용","2000","4","",
"164","특정고압가스업","09_28_14_P","3390000","2022339010912200001","20220215","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 감전동 148-10","부산광역시 사상구 낙동대로1048번길 7 (감전동)","46990","해동중공업","20220215170859","I","2022-02-17 00:22:55.0","","379791.758209205","185637.341081447","열처리용","기화기로 강제기화하여 감압공정을 거처 사용처로 공급","1000","10","",
"165","특정고압가스업","09_28_14_P","3390000","2006339001502700003","20061107","","01","영업/정상","BBBB","","","","","","051 3015547","","","부산광역시 사상구 모라동 709-9번지","부산광역시 사상구 사상로447번길 68 (모라동)","","부산열처리산업사","20111124130220","I","2018-08-31 23:59:59.0","","380551.897194278","189147.521519513","열처리","자연기화 분해가스사용","75","3","",
"166","특정고압가스업","09_28_14_P","3390000","2009339006612200002","20090917","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 주례동 193-5번지","부산광역시 사상구 가야대로 326 (주례동)","","좋은삼선병원","20111124125830","I","2018-08-31 23:59:59.0","","382929.506900383","185315.476709153","의료용","소형용기 저장","2000","20","",
"167","특정고압가스업","09_28_14_P","3390000","2004339001502700001","20040513","","01","영업/정상","BBBB","","","","","","051 3053535","","","부산광역시 사상구 삼락동 393-6번지","부산광역시 사상구 낙동대로1330번길 59 (삼락동)","","부경열처리","20111124130440","I","2018-08-31 23:59:59.0","","380253.428266138","188381.665036732","열처리","0","500","5","",
"168","특정고압가스업","09_28_14_P","3390000","2005339001502700001","20050726","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 감전동 506-37번지","부산광역시 사상구 낙동대로902번길 22  (감전동)","","미성스텐","20050726000000","I","2018-08-31 23:59:59.0","","379622.497586321","184205.814180965","열처리","암모니아열처리로","500","","",
"169","특정고압가스업","09_28_14_P","3390000","2006339001502700001","20060418","","01","영업/정상","BBBB","","","","","","051 3164001","","","부산광역시 사상구 학장동 258-16번지","부산광역시 사상구 가야대로134번길 8  (학장동)","","(주)징영금속","20060418000000","I","2018-08-31 23:59:59.0","","380971.424177499","185155.12302041","열처리","","500","","",
"170","특정고압가스업","09_28_14_P","3390000","2006339001502700004","20061127","","01","영업/정상","BBBB","","","","","","051 3058212","","","부산광역시 사상구 삼락동 356-9번지","부산광역시 사상구 낙동대로1396번길 41 (삼락동)","","태웅금속열처리","20111124130145","I","2018-08-31 23:59:59.0","","380172.765946302","189061.662655276","열처리","기화","200","12","",
"171","특정고압가스업","09_28_14_P","3390000","2007339005602700001","20070621","","01","영업/정상","BBBB","","","","","","051 3232008","","","부산광역시 사상구 학장동 113-2번지","부산광역시 사상구 학감대로39번길 120  (학장동)","","구덕병원","20070621000000","I","2018-08-31 23:59:59.0","","381850.902230211","183194.076535805","의료용","","1200","120","",
"172","특정고압가스업","09_28_14_P","3390000","2014339008312200001","20140320","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사상구 모덕로 43 (삼락동)","","흥덕산업(주) 기계사업부","20140320171850","I","2018-08-31 23:59:59.0","","380450.17763700000","189117.20081600000","산업용(코팅성형)","저장탱크","3500","10","",
"173","특정고압가스업","09_28_14_P","3390000","2014339008312200002","20140528","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사상구 낙동대로 1328 (삼락동)","","한국웰드몰드(주)","20140528172726","I","2018-08-31 23:59:59.0","","380043.856997616","188371.234810151","용접,절단용","용기","600","44","",
"174","특정고압가스업","09_28_14_P","3390000","2011339006612200001","20110103","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 감전동 124-18번지","부산광역시 사상구 새벽시장로29번길 48 (감전동)","","해동중공업(주)","20111124125753","I","2018-08-31 23:59:59.0","","380134.7346948","186094.605827273","열처리 분위기 가스용","저장실보관 및 배관을 통한 열처리 분위기 가스용","600","10","",
"175","특정고압가스업","09_28_14_P","3390000","2011339008312200001","20110906","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 엄궁동 651-46번지","부산광역시 사상구 강변대로456번길 16-19 (엄궁동)","","동현강업","20111124125719","I","2018-08-31 23:59:59.0","","378919.73725596","182363.756391968","공업용(철판 가공용)","산소","2500","10","",
"176","특정고압가스업","09_28_14_P","3390000","2012339008312200001","20120613","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 학장동 748-1번지","부산광역시 사상구 학장로95번길 47 (학장동)","","(주)티와이밸브","20120613140438","I","2018-08-31 23:59:59.0","","379960.581005941","184191.864891625","산소200kg","산소","200","20","",
"177","특정고압가스업","09_28_14_P","3390000","2013339008312200002","20130626","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 학장동 727-9번지","부산광역시 사상구 새벽로17번길 12 (학장동)","","(주)희원금속","20130626104224","I","2018-08-31 23:59:59.0","","380312.110117506","184467.754075652","절단용","절단용","450","25","",
"178","특정고압가스업","09_28_14_P","3390000","2016339009112200001","20160328","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사상구 낙동대로 1052 (감전동)","","해동산업","20160328153405","I","2018-08-31 23:59:59.0","","379773.726121275","185666.694850202","열처리용","열처리용","400","25","",
"179","특정고압가스업","09_28_14_P","3390000","2016339009112200002","20160418","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사상구 대동로 141 (감전동)","","영재의료재단큰솔병원","20160418094549","I","2018-08-31 23:59:59.0","","380602.363644347","184199.699942479","의료용","의료용","1","295","",
"180","특정고압가스업","09_28_14_P","3390000","2018339009112200001","20180706","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 학장동 273-8번지","부산광역시 사상구 가야대로 148 (학장동)","47020","인제(주)","20180706100514","I","2018-08-31 23:59:59.0","","381137.133217838","185139.900642385","철판절단, 레이저가공","저장용기 154kg*6본","4620","20","",
"181","특정고압가스업","09_28_14_P","3390000","2018339009112200004","20181016","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 학장동 628-12번지 동양철강공업사","부산광역시 사상구 감전천로 32, 동양철강공업사 (학장동)","47026","동양철강공업사","20181016144858","I","2018-10-18 02:36:29.0","","379774.900981521","183725.115588451","절단, 가공용","액화산소 용기(168kg*2개)","1000","13","",
"182","특정고압가스업","09_28_14_P","3390000","2018339009112200005","20181212","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 학장동 729-12번지","부산광역시 사상구 새벽로17번길 43 (학장동)","47025","대진열처리","20181212140419","I","2018-12-14 02:20:16.0","","380137.183270912","184465.768101958","열처리","저장탱크에 저장","300","3","",
"183","특정고압가스업","09_28_14_P","3400000","2019340010912200003","20190827","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 정관읍 달산리 1058-2번지 용광산기(주)","부산광역시 기장군 정관읍 산단4로 34, 용광산기(주)","46027","용광산기(주)","20190827193938","I","2019-08-29 02:22:25.0","","398535.292820539","203959.668536098","철판절단","배관호스를 기계에 연결하여 사용","4500","6","",
"184","특정고압가스업","09_28_14_P","3400000","2019340010912200004","20190906","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 장안읍 명례리 882번지","부산광역시 기장군 장안읍 협동로 159","46028","(주)이움","20190906174820","I","2019-09-08 02:22:22.0","","404990.203143263","211024.888312993","열처리","배관을 장치에 연결하여 호수를 이용해서 사용","2100","20","",
"185","특정고압가스업","09_28_14_P","3400000","2020340010912200001","20200427","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 장안읍 명례리 899-8번지","부산광역시 기장군 장안읍 명례산단1로 170","46028","(주)신영","20200427150843","I","2020-04-29 00:23:20.0","","404894.66518892","210713.627656158","파이프 용접","배관을 용접기에 연결한 후 사용","2800","4","",
"186","특정고압가스업","09_28_14_P","3400000","2017340010912200002","20170502","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 장안읍 명례리 899-1번지","","","일진엔티에스㈜","20170502174925","I","2018-08-31 23:59:59.0","","404794.718660249","210853.725594626","열처리용","열처리용","3000","46","",
"187","특정고압가스업","09_28_14_P","3400000","1995340002502700001","19950821","","01","영업/정상","BBBB","","","","","","051 5092328","","","부산광역시 기장군 철마면 송정리 5번지","부산광역시 기장군 철마면 여락송정로 363","","S&T대우(주)","20080116173600","I","2018-08-31 23:59:59.0","","394117.140328901","202127.107015021","제품생산","..","200","0","",
"188","특정고압가스업","09_28_14_P","3400000","2007340002512200001","20070911","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 일광면 학리 12번지","부산광역시 기장군 일광면 학리등대로 112","","대관수산","20070911172903","I","2018-08-31 23:59:59.0","","404576.448660758","197827.231464853","양어장","수조","4900","3","",
"189","특정고압가스업","09_28_14_P","3400000","2007340002512200003","20071213","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 정관면 달산리 1069-7번지","부산광역시 기장군 정관면 산단4로 109","","동진CNS(주)","20100108151400","I","2018-08-31 23:59:59.0","","399331.52971400000","204491.77211300000","철판절단","기화기","9000","8","",
"190","특정고압가스업","09_28_14_P","3400000","2009340004412200001","20090204","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 정관면 달산리 868번지","부산광역시 기장군 정관면 산단4로 8-15","","신우메탈공업(주)","20090204170233","I","2018-08-31 23:59:59.0","","398416.81652500000","204204.35901400000","열처리 분위기 가스용","봄베이용","1500","90","",
"191","특정고압가스업","09_28_14_P","3400000","2011340004412200001","20110819","","01","영업/정상","BBBB","","","","","","","","","부산광역시 기장군 장안읍 효암리 산 67번지 외 1411 필지","","","한국수력원자력(주) 고리원자력 신고리제1발전소","20110819162613","I","2018-08-31 23:59:59.0","","409066.553206529","205530.677770268","고압가스병저장고 신설","용접용, 계측기 교정용 등","500","150","",
"192","특정고압가스업","09_28_14_P","3400000","1997340002502700006","19970516","","01","영업/정상","BBBB","","","","","","051 7276911","","","부산광역시 기장군 장안읍 좌천리 374-1번지","","","상수도사업본부 기장사업소","19970516000000","I","2018-08-31 23:59:59.0","","","","","","","","",
"193","특정고압가스업","09_28_14_P","3250000","1975325001402700001","19750529","","02","휴업","1","휴업처리","","","","","051 4612747","","","부산광역시 중구 대청동4가 12번지","부산광역시 중구 중구로 121 (대청동4가)","","메리놀병원","20141224111125","I","2018-08-31 23:59:59.0","","385245.491143612","180646.524586019","의료용","의료","2800","0","",
"194","특정고압가스업","09_28_14_P","3250000","2011325008312200001","20111129","","02","휴업","1","휴업처리","","","","","","","","","부산광역시 중구 자갈치해안로 52 (남포동4가)","","부산어패류처리조합","20141224110136","I","2018-08-31 23:59:59.0","","385352.27433351","179520.127151419","수족관 어패류 산소공급용","수족관","20000","250","",
"195","특정고압가스업","09_28_14_P","3250000","1993325001402700002","19930917","","02","휴업","1","휴업처리","","","","","051 5150661","","","부산광역시 중구 남포동5가 92번지","부산광역시 중구 자갈치로 42 (남포동5가)","","신동아시장","20141224110347","I","2018-08-31 23:59:59.0","","384953.004015023","179411.688598493","어패류 산소 공급","어패류 산소 공급","1344","0","",
"196","특정고압가스업","09_28_14_P","3260000","2008326007012200026","20081021","","02","휴업","1","휴업처리","","","","","","","","부산광역시 서구 토성동5가 39-2번지","부산광역시 서구 구덕로132번길 9 (토성동5가)","","대영탕","20150616175303","I","2018-08-31 23:59:59.0","","384344.05146467","179443.903329739","온수용","도시가스","4656","50","",
"197","특정고압가스업","09_28_14_P","3260000","2015326007012200001","20150807","","02","휴업","1","휴업처리","","","","","","","","","부산광역시 서구 구덕로 179 (아미동1가)","","부산대학교 병원","20150812155649","I","2018-08-31 23:59:59.0","","384030.498741004","179806.024724594","의료용","용기 배관공급","3000","4","",
"198","특정고압가스업","09_28_14_P","3260000","2022326010712200001","20220406","","02","휴업","1","휴업처리","","","","","","","","부산광역시 서구 서대신동2가 382-6 삼육부산병원","부산광역시 서구 대티로 170, 삼육부산병원 (서대신동2가)","49230","삼육부산병원","20220406101209","I","2022-04-08 00:22:34.0","","383250.507056802","181051.91580976","의료용","기화 후 감압 공정 거쳐 병동 공급","9900","300","",
"199","특정고압가스업","09_28_14_P","3270000","1976327001402700007","19761207","","02","휴업","1","휴업처리","","","","","051 6469955","","","부산광역시 동구 좌천동 68-11번지","부산광역시 동구 중앙대로 401 (좌천동)","","봉생병원","20131230164814","I","2018-08-31 23:59:59.0","","386833.110400259","183250.094671532","의료용","용기","600","50","",
"200","특정고압가스업","09_28_14_P","3270000","1984327001402700005","19841024","","02","휴업","1","휴업처리","","","","","051 6300300","","","부산광역시 동구 좌천동 471번지","부산광역시 동구 정공단로 27 (좌천동)","","일신기독병원","20131231140229","I","2018-08-31 23:59:59.0","","387182.18783400000","184044.49164700000","의료용","용기","330","50","",
"201","특정고압가스업","09_28_14_P","3270000","1984327005802705783","19841024","","02","휴업","1","휴업처리","","","","","051 6300300","","","부산광역시 동구 좌천동 471번지","부산광역시 동구 정공단로 27 (좌천동)","","일신기독병원","20131231140032","I","2018-08-31 23:59:59.0","","387182.18783400000","184044.49164700000","병원","호흡기","330","200","",
"202","특정고압가스업","09_28_14_P","3270000","2003327005802700001","20031027","","02","휴업","1","휴업처리","","","","","051 4618601","","","부산광역시 동구 초량동 1205-22번지","부산광역시 동구 중앙대로 184 (초량동)","","삼성화재해상보험(주)","20131231114239","I","2018-08-31 23:59:59.0","","385859.422246357","181299.852459272","냉.난방","배관공급","29015","100","",
"203","특정고압가스업","09_28_14_P","3270000","2003327005802705783","20031027","","02","휴업","1","휴업처리","","","","","051 6300300","","","부산광역시 동구 좌천동 471번지","부산광역시 동구 정공단로 27 (좌천동)","","일신기독병원","20131231114052","I","2018-08-31 23:59:59.0","","387182.18783400000","184044.49164700000","병원","호흡기","330","200","",
"204","특정고압가스업","09_28_14_P","3270000","2016327008612200001","20160308","","02","휴업","1","휴업처리","","","","","","","","부산광역시 동구 초량동 1147-2번지","부산광역시 동구 중앙대로 281 (초량동)","","의료법인 은경의료재단(인창병원)","20170123150431","I","2018-08-31 23:59:59.0","","386150.972573059","182211.570395842","의료용","의료용","1500","2","",
"205","특정고압가스업","09_28_14_P","3280000","2018328009212200002","20181107","","02","휴업","1","휴업처리","","","","","","","","부산광역시 영도구 동삼동 1027번지 태종대요양병원","부산광역시 영도구 감지길 27-12, 태종대요양병원 (동삼동)","49126","태종대 요양병원","20181107181819","I","2018-11-09 02:38:01.0","","389703.054890774","175745.608171904","의료용","의료용","1800","100","",
"206","특정고압가스업","09_28_14_P","3280000","1977328001502700002","19771221","","02","휴업","1","휴업처리","","","","","005104172235","","","부산광역시 영도구 대평동2가 6-1번지","부산광역시 영도구 대평남로 55 (대평동2가)","","(주)제이와이조선","20150121153301","I","2018-08-31 23:59:59.0","","385227.414380448","178951.005864385","용접","용접","504","0","",
"207","특정고압가스업","09_28_14_P","3280000","1977328001502700004","19771222","","02","휴업","1","휴업처리","","","","","005104166149","","","부산광역시 영도구 대평동2가 3번지","부산광역시 영도구 대평남로 39 (대평동2가)","","삼화조선소","20131231160050","I","2018-08-31 23:59:59.0","","385320.978204243","178804.974222802","용접","용접","1","50","",
"208","특정고압가스업","09_28_14_P","3280000","1979328001502700006","19790628","","02","휴업","1","휴업처리","","","","","005104044111","","","부산광역시 영도구 동삼동 232-1번지","","","(주)경희어망","20131231153506","I","2018-08-31 23:59:59.0","","","","용접","압축산소11.84㎥
아세틸렌9kg","1","100","",
"209","특정고압가스업","09_28_14_P","3280000","1985328001502700001","19850718","","02","휴업","1","휴업처리","","","","","005104191127","","","부산광역시 영도구 대평동1가 160-1번지","부산광역시 영도구 대평남로 35 (대평동1가)","","STX조선(주)","20131231152139","I","2018-08-31 23:59:59.0","","385452.66259300000","179058.25023600000","용접","용접용","1","100","",
"210","특정고압가스업","09_28_14_P","3280000","1985328001502700002","19851025","","02","휴업","1","휴업처리","","","","","005104126161","","","부산광역시 영도구 봉래동3가 5-6번지","부산광역시 영도구 태종로 133 (봉래동3가)","","해동병원본관","20131231151721","I","2018-08-31 23:59:59.0","","386317.573451534","178891.448253198","의료용","액화산소","1","100","",
"211","특정고압가스업","09_28_14_P","3280000","2018328009212200001","20180416","","02","휴업","1","휴업처리","","","","","","","","부산광역시 영도구 동삼동 1166 한국해양과학기술원","부산광역시 영도구 해양로 385, 한국해양과학기술원 (동삼동)","49111","한국해양과학기술원","20210518111651","U","2021-05-20 02:40:00.0","","389627.61500973","177145.655341611","연구실험","연구 실험","6.5","694","",
"212","특정고압가스업","09_28_14_P","3280000","1978328001502700003","19780309","","02","휴업","1","휴업처리","","","","","005104148885","","","부산광역시 영도구 대평동2가 13번지","부산광역시 영도구 대평남로51번길 14 (대평동2가)","","대림조선","20131231155446","I","2018-08-31 23:59:59.0","","385306.99066100000","179200.02818300000","용접","용접용","1","100","",
"213","특정고압가스업","09_28_14_P","3280000","1979328001502700001","19790412","","02","휴업","1","휴업처리","","","","","005104183421","","","부산광역시 영도구 대평동2가 12-3번지","부산광역시 영도구 대평남로51번길 26 (대평동2가)","","영도조선(주)","20131231155135","I","2018-08-31 23:59:59.0","","385348.18640400000","179162.58557800000","용접","용접","1","50","",
"214","특정고압가스업","09_28_14_P","3280000","1979328001502700002","19790412","","02","휴업","1","휴업처리","","","","","005104139401","","","부산광역시 영도구 대평동1가 15번지","부산광역시 영도구 대평북로 31 (대평동1가)","","동명철공(주)","20131231155031","I","2018-08-31 23:59:59.0","","385532.60547700000","179258.17348000000","용접","용접","1","100","",
"215","특정고압가스업","09_28_14_P","3280000","1979328001502700003","19790607","","02","휴업","1","휴업처리","","","","","005104151633","","","부산광역시 영도구 남항동3가 13-1번지","부산광역시 영도구 남항서로 63 (남항동3가)","","(주)과학조선","20131231154111","I","2018-08-31 23:59:59.0","","385475.532459614","178306.442975833","용접","용접용","1","50","",
"216","특정고압가스업","09_28_14_P","3280000","2020328013212200001","20200424","","02","휴업","1","휴업처리","","","","","","","","부산광역시 영도구 청학동 1-44번지 토탈마린(주)","부산광역시 영도구 해양로147번길 22 (청학동)","49013","일진수산","20200424184108","I","2020-04-26 00:23:32.0","","388797.297110177","178974.379341842","활어 산소 공급용","활어 산소 공급용","1200","4","",
"217","특정고압가스업","09_28_14_P","3280000","2022328013712200001","20220531","","02","휴업","1","휴업처리","","","","","","","","부산광역시 영도구 대평동2가 1","부산광역시 영도구 대평남로 65 (대평동2가)","49044","(주)바이칼","20220531165354","I","2022-06-04 00:22:32.0","","385207.058939842","179084.59823076","산업용","산업용(조선 선박 수리)
-> 동성조선철공소와 같은 자리에
예전부터 인수해서 바이칼로 했다고 함
계속 한국가스안전공사 검사는 받아왔음.
22.1.7. 법 개정으로 특고사용신고대상이
안되었다가 다시 사용신고량 이상을
쓰게 되어 바이칼로 신고함","3000","30","",
"218","특정고압가스업","09_28_14_P","3290000","2019329012812200001","20190128","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 양정동 320-3번지 수 요양병원","부산광역시 부산진구 동평로 401, 수 요양병원 (양정동)","47211","의료법인청원의료재단 수요양병원","20190613144135","U","2019-06-15 02:40:00.0","","388418.982637727","188078.306325796","의료용","압축가스","250","520","",
"219","특정고압가스업","09_28_14_P","3290000","2019329012812200002","20190213","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 당감동 966 온병원","부산광역시 부산진구 가야대로 721, 온병원 (당감동)","47261","의료법인 온그룹의료재단 온종합병원(온요양병원)","20220329131926","U","2022-03-31 02:40:00.0","","386720.170427319","186225.093230356","의료용 산소","의료용 액화 및 압축 산소","1600","650","",
"220","특정고압가스업","09_28_14_P","3290000","2019329012812200003","20190612","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 범천동 854-3번지","부산광역시 부산진구 황령대로 12 (범천동)","47354","이샘병원","20190613144218","I","2019-06-14 02:21:30.0","","387768.362894747","185095.189001815","의료용","환자 치료 목적","240","150","",
"221","특정고압가스업","09_28_14_P","3290000","2019329012812200004","20190612","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 범천동 854-31번지","부산광역시 부산진구 황령대로8번길 7 (범천동)","47354","의료법인 상봉의료재단 상봉요양병원","20190613144206","I","2019-06-14 02:21:30.0","","387730.25155151","185076.239080067","의료용","치료","2000","250","",
"222","특정고압가스업","09_28_14_P","3290000","2021329014412200002","20211216","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 당감동 966 온병원","부산광역시 부산진구 가야대로 721, 온병원 (당감동)","47261","의료법인 온그룹의료재단 온종합병원","20220329114836","U","2022-03-31 02:40:00.0","","386720.170427319","186225.093230356","의료용","의료용 액화산소","8000","650","",
"223","특정고압가스업","09_28_14_P","3290000","2018329012812200001","20180918","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 당감동 975번지 굿모닝메디컬센터","부산광역시 부산진구 가야대로 713, 굿모닝메디컬센터 (당감동)","47261","휴병원","20190507165131","U","2019-05-09 02:40:00.0","","386677.045105473","186192.734408208","의료용","산소(압축)","200","130","",
"224","특정고압가스업","09_28_14_P","3290000","2018329012812200003","20180927","","02","휴업","1","휴업처리","","","","","","","","부산광역시 부산진구 개금동 204-6번지 미래여성병원","부산광역시 부산진구 가야대로 459, 미래여성병원 (개금동)","47268","미래여성병원","20190225174213","U","2019-02-27 02:40:00.0","","384209.576871548","185708.321755584","의료용","액화산소(165L) 5병, 압축산소(40L) 5병","935","180","",
"225","특정고압가스업","09_28_14_P","3290000","1979329001302700026","19790630","","02","휴업","1","휴업처리","","","","","051 6458971","","","부산광역시 부산진구 범천동 873-44번지","부산광역시 부산진구 중앙대로 605 (범천동)","","춘해병원","20160902164244","I","2018-08-31 23:59:59.0","","387524.969015487","185035.130593279","의료용","0","0","0","",
"226","특정고압가스업","09_28_14_P","3290000","1981329001302700029","19810217","","02","휴업","1","휴업처리","","","","","051 8943412","","","부산광역시 부산진구 개금동 산 51-8번지","부산광역시 부산진구 복지로 75 (개금동)","","인제대학교 백병원","20160902164109","I","2018-08-31 23:59:59.0","","384086.836053453","184845.344473663","의료용","0","0","0","",
"227","특정고압가스업","09_28_14_P","3290000","1984329001302700033","19841201","","02","휴업","1","휴업처리","","","","","051 8114045","","","부산광역시 부산진구 전포동 188-9번지","부산광역시 부산진구 동성로76번길 4 (전포동)","","대우버스(주)","20160902163756","I","2018-08-31 23:59:59.0","","388421.094487882","186176.811858731","작업용","0","0","0","",
"228","특정고압가스업","09_28_14_P","3290000","1990329001302700037","19900609","","02","휴업","1","휴업처리","","","","","051 8508558","","","부산광역시 부산진구 양정동 산 45번지","부산광역시 부산진구 양정로 62 (양정동, 동의대학교부속 동의의료원)","","동의의료원","20131223105452","I","2018-08-31 23:59:59.0","","389188.377759443","187632.94862231","의료용","0","0","0","",
"229","특정고압가스업","09_28_14_P","3290000","2000329001302700041","20000324","","02","휴업","1","휴업처리","","","","","051 8064209","","","부산광역시 부산진구 범천동 965-3번지","부산광역시 부산진구 신천대로 145 (범천동)","","부산철도차량관리단","20131223104850","I","2018-08-31 23:59:59.0","","386920.1452235","185636.253183939","작업용","0","498","0","",
"230","특정고압가스업","09_28_14_P","3290000","2006329001302700001","20060113","","02","휴업","1","휴업처리","","","","","051 7575119","","","부산광역시 부산진구 전포동 504-417번지","부산광역시 부산진구 봉수로 18 (전포동)","","의)청십자의료재단 행복한 병원","20190108092744","U","2019-01-10 02:40:00.0","","388588.775232351","185435.511240727","의료용","00","5000","80","",
"231","특정고압가스업","09_28_14_P","3300000","2022330011012200001","20220126","","02","휴업","1","휴업처리","","","","","","","","부산광역시 동래구 복천동 381","","","태유토건㈜","20220126165723","I","2022-01-28 00:22:39.0","","389680.461065428","191524.690415831","건설공사(절단 등)","절단 작업 등","525","0","",
"232","특정고압가스업","09_28_14_P","3300000","2020330009912200001","20200422","","02","휴업","1","휴업처리","","","","","","","","부산광역시 동래구 온천동 183-3번지 동래 3차 SK VIEW 신축공사","","","SK건설㈜","20200422135053","I","2020-04-24 00:23:20.0","","389464.032652033","192881.857890421","용접 및 절단","흙막이 가시설 해체, 건축/설비공사 절단","50","6","",
"233","특정고압가스업","09_28_14_P","3300000","2021330011012200002","20211124","","02","휴업","1","휴업처리","","","","","","","","부산광역시 동래구 온천동 93-13 부산온천4재개발 삼성물산(주) 현장사무실","부산광역시 동래구 금강로 137-2 (온천동)","47702","삼성물산㈜ 온천4구역 주택재개발정비사업","20211124170244","I","2021-11-26 00:22:55.0","","389327.711754787","193312.671378558","건설공사(용접, 용단, 가열작업)","용접, 용단, 가열작업 등","1382.4","750","",
"234","특정고압가스업","09_28_14_P","3300000","2021330011012200001","20210426","","02","휴업","1","휴업처리","","","","","","","","부산광역시 동래구 사직동 3-2","","","GS건설","20210427093935","I","2021-04-28 00:22:57.0","","389155.606433209","191008.448503251","건설공사","가시설작업","560","5","",
"235","특정고압가스업","09_28_14_P","3300000","2002330001602700001","19900104","","02","휴업","1","휴업처리","","","","","051 5541233","","","부산광역시 동래구 명륜동 530-1번지","부산광역시 동래구 충렬대로 187 (명륜동)","","대동병원","20150921145420","I","2018-08-31 23:59:59.0","","389368.052092848","191426.174156767","의료용","ㄴㄴ","640","0","",
"236","특정고압가스업","09_28_14_P","3300000","2008330006412200001","20081223","","02","휴업","1","휴업처리","","","","","","","","부산광역시 동래구 사직동 102-7","부산광역시 동래구 종합운동장로 42 (사직동)","","세계로병원","20150703134651","I","2018-08-31 23:59:59.0","","387976.909302104","190312.811824906","의료용","의료용","960","110","",
"237","특정고압가스업","09_28_14_P","3300000","2012330007912200001","20121024","","02","휴업","1","휴업처리","","","","","","","","","부산광역시 동래구 충렬대로 255 (수안동)","","부산 힘찬병원","20140121184416","I","2018-08-31 23:59:59.0","","390006.797186421","191136.925894506","의료용","병원내
(2014.1.21일자 개인=>법인으로 변경)","10","137","",
"238","특정고압가스업","09_28_14_P","3300000","2006330006402700001","20061124","","02","휴업","1","휴업처리","","","","","051 5592000","","","부산광역시 동래구 온천동 153-8번지","부산광역시 동래구 중앙대로 1523 (온천동)","","우리들병원","20150703134932","I","2018-08-31 23:59:59.0","","389816.233000769","193329.605871168","의료용","산소호흡기","660","0","",
"239","특정고압가스업","09_28_14_P","3300000","2016330007912200001","20160325","","02","휴업","1","휴업처리","","","","","","","","","부산광역시 동래구 금강로 64 (온천동)","","동래유유요양병원","20190408172856","U","2019-04-10 02:40:00.0","","389099.832392605","192604.671044886","환자 호흡기용 의료용","배관시설을 통한 장비(콘솔) 또는 현장에서환자 호흡용으로 사용","5500","260","",
"240","특정고압가스업","09_28_14_P","3300000","2017330007912200001","20170609","","02","휴업","1","휴업처리","","","","","","","","","부산광역시 동래구 충렬대로 372 (안락동)","","준요양병원","20170613171218","I","2018-08-31 23:59:59.0","","391099","190710","의료용","배관설비를 통한 산소 공급","3000","150","",
