"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"1739","숙박업","03_11_03_P","3380000","3380000-214-2021-00008","20211206","","01","영업/정상","01","영업","","","","","","296.60","613805","부산광역시 수영구 광안동 197-19","부산광역시 수영구 광안해변로 195, 4~7층 (광안동)","48303","리벤시아","20211206145203","I","2021-12-08 00:22:43.0","숙박업(생활)","392824.706941668","185671.789934259","숙박업(생활)","4","7","0","0","0","0","0","4","0","N","0","","","","","0","0","0","0","0","N",
"1740","숙박업","03_11_03_P","3380000","3380000-201-2020-00001","20200713","","01","영업/정상","01","영업","","","","","051 982 9700","6,534.84","613805","부산광역시 수영구 광안동 197-2 HOTEL CENTRALBAY","부산광역시 수영구 광안해변로 189, HOTEL CENTRALBAY 5~17층 (광안동)","48303","호텔 센트럴베이","20201202142048","U","2020-12-04 02:40:00.0","관광호텔","392793.081758571","185636.737172389","관광호텔","0","0","4","17","0","0","6","128","0","N","0","","","","","0","0","0","0","0","N",
"1741","숙박업","03_11_03_P","3380000","3380000-214-2020-00009","20200825","","01","영업/정상","01","영업","","","","","051 203 5200","414.76","613828","부산광역시 수영구 민락동 181-135","부산광역시 수영구 민락수변로 9, 5~6층 (민락동)","48283","더웨이브","20210210135721","U","2021-02-12 02:40:00.0","숙박업(생활)","393475.046553126","186049.671295774","숙박업(생활)","0","0","5","6","0","0","0","3","0","N","0","","","","","0","0","0","0","0","N",
"1742","숙박업","03_11_03_P","3380000","3380000-214-2020-00007","20200730","","01","영업/정상","01","영업","","","","","","282.18","613828","부산광역시 수영구 민락동 181-154 오션브릿지","부산광역시 수영구 광안해변로278번길 42, 오션브릿지 b동 15층 B1501호 (민락동)","48283","더베이클럽호텔","20210210135750","U","2021-02-12 02:40:00.0","숙박업(생활)","393521.998603867","185933.100965604","숙박업(생활)","0","0","15","15","0","0","0","5","0","N","0","","","","","0","0","0","0","0","N",
"1743","숙박업","03_11_03_P","3380000","3380000-214-2020-00005","20200722","","01","영업/정상","01","영업","","","","","","971.60","613805","부산광역시 수영구 광안동 201-8","부산광역시 수영구 남천바다로33번길 22, 6~13층 (광안동)","48303","케렌시아","20200722133725","I","2020-07-24 00:23:15.0","숙박업(생활)","392639.516050424","185399.003881049","숙박업(생활)","0","0","6","13","","","0","20","0","N","0","","","","","0","0","0","0","0","N",
"1744","숙박업","03_11_03_P","3380000","3380000-214-2020-00006","20200728","","01","영업/정상","01","영업","","","","","","201.63","613828","부산광역시 수영구 민락동 181-204 성진회센터","부산광역시 수영구 민락수변로 5, 성진회센터 9층 901호 (민락동)","48283","어반하우스 펜트","20210210135859","U","2021-02-12 02:40:00.0","숙박업(생활)","393462.263967573","186081.959202605","숙박업(생활)","0","0","9","9","0","0","0","3","0","N","0","","","","","0","0","0","0","0","N",
"1745","숙박업","03_11_03_P","3380000","3380000-201-2018-00001","20180601","","01","영업/정상","01","영업","","","","","051 755 2777","967.28","613828","부산광역시 수영구 민락동 181-154 오션브릿지","부산광역시 수영구 광안해변로278번길 42, 오션브릿지 B동 13~14층 (민락동)","48283","호텔오션뷰","20210817152450","U","2021-08-19 02:40:00.0","관광호텔","393521.998603867","185933.100965604","관광호텔","15","2","13","14","0","0","0","30","0","N","0","","","","","0","0","0","0","0","N",
"1746","숙박업","03_11_03_P","3380000","3380000-214-2021-00005","20210426","","01","영업/정상","01","영업","","","","","","795.42","613828","부산광역시 수영구 민락동 181-154 오션브릿지","부산광역시 수영구 광안해변로278번길 42, 오션브릿지 A~B동 3층 A301,B301호 (민락동)","48283","디옴므","20210601151918","U","2021-06-03 02:40:00.0","숙박업(생활)","393521.998603867","185933.100965604","숙박업(생활)","0","0","0","0","0","0","0","30","0","N","0","","","","","0","0","0","0","0","N",
"1747","숙박업","03_11_03_P","3380000","3380000-214-2021-00007","20210531","","01","영업/정상","01","영업","","","","","","1,306.50","613805","부산광역시 수영구 광안동 201-1 광안 지웰에스테이트 더 테라스","부산광역시 수영구 광남로94번길 16, 광안 지웰에스테이트 더 테라스 3~20(일부)층 302호 외 62실호 (광안동)","48303","쏘타컬렉션더테라스(SOTA Collection The Terrace)","20220520105351","U","2022-05-22 02:40:00.0","숙박업(생활)","392691.625721388","185474.226912741","숙박업(생활)","0","0","3","20","0","0","0","62","0","N","0","","","","","0","0","0","0","0","N",
"1748","숙박업","03_11_03_P","3380000","3380000-214-2021-00006","20210526","","01","영업/정상","01","영업","","","","","","218.85","613805","부산광역시 수영구 광안동 200-4","부산광역시 수영구 광안해변로 179, 5층 (광안동)","48303","제이스테이 펜트하우스","20210625155820","U","2021-06-27 02:40:00.0","숙박업(생활)","392732.161638137","185542.452702234","숙박업(생활)","0","0","5","5","0","0","0","4","0","N","0","","","","","0","0","0","0","0","N",
"1749","숙박업","03_11_03_P","3380000","3380000-214-2020-00011","20201005","","01","영업/정상","01","영업","","","","","051 711 8870","721.22","613805","부산광역시 수영구 광안동 201-9","부산광역시 수영구 광안해변로 161, 4~10,12층 (광안동)","48303","뷰먼드","20210210120007","U","2021-02-12 02:40:00.0","숙박업(생활)","392647.645789784","185387.257826258","숙박업(생활)","0","0","4","12","0","0","0","8","0","N","0","","","","","0","0","0","0","0","N",
"1750","숙박업","03_11_03_P","3380000","3380000-214-2020-00010","20200928","","01","영업/정상","01","영업","","","","","","414.76","613828","부산광역시 수영구 민락동 181-135","부산광역시 수영구 민락수변로 9, 3,4층 (민락동)","48283","더웨이브온","20201207170944","U","2020-12-09 02:40:00.0","숙박업(생활)","393475.046553126","186049.671295774","숙박업(생활)","6","1","3","4","0","0","0","6","0","N","0","","","","","0","0","0","0","0","N",
"1751","숙박업","03_11_03_P","3380000","3380000-201-2020-00002","20201016","","01","영업/정상","01","영업","","","","","051 758 4400","841.55","613828","부산광역시 수영구 민락동 34-1 다온채","부산광역시 수영구 광안해변로307번길 15, 다온채 지하1,지상7~11층 (민락동)","48290","레지던스 다온채","20210309134146","U","2021-03-11 02:40:00.0","관광호텔","393692.666815799","186353.10308332","관광호텔","7","11","0","0","0","0","0","20","0","N","0","","","","","0","0","0","0","0","N",
"1752","숙박업","03_11_03_P","3380000","3380000-214-2021-00003","20210217","","01","영업/정상","01","영업","","","","","070 46552587","325.02","613805","부산광역시 수영구 광안동 202-18","부산광역시 수영구 남천바다로33번길 35, 401~405,701~705,801~805호 4,7,8층 (광안동)","48303","주식회사이너플랜","20220225175400","U","2022-02-27 02:40:00.0","숙박업(생활)","392654.443900347","185470.140276905","숙박업(생활)","0","0","4","8","0","0","0","15","0","N","0","","","","","0","0","0","0","0","N",
"1753","숙박업","03_11_03_P","3380000","3380000-214-2021-00002","20210209","","01","영업/정상","01","영업","","","","","","310.57","613828","부산광역시 수영구 민락동 176-14","부산광역시 수영구 광안해변로 273, 2~4층 (민락동)","48286","광안273","20210303192026","U","2021-03-05 02:40:00.0","숙박업(생활)","393429.955148773","186148.123774366","숙박업(생활)","0","0","2","4","0","0","0","8","0","N","0","","","","","0","0","0","0","0","N",
"1754","숙박업","03_11_03_P","3380000","3380000-214-2021-00004","20210406","","01","영업/정상","01","영업","","","","","","1,441.40","613805","부산광역시 수영구 광안동 201-1 광안 지웰에스테이트 더 테라스","부산광역시 수영구 광남로94번길 16, 광안 지웰에스테이트 더 테라스 3~19층 301호 등 70개소 (광안동)","48303","위더스오션","20220525180346","U","2022-05-28 02:40:00.0","숙박업(생활)","392691.625721388","185474.226912741","숙박업(생활)","0","0","3","19","0","0","0","70","0","N","0","","","","","0","0","0","0","0","N",
"1755","숙박업","03_11_03_P","3380000","3380000-214-2018-00005","20181109","","01","영업/정상","01","영업","","","","","","176.13","613815","부산광역시 수영구 남천동 28-10","부산광역시 수영구 수영로464번길 22, 4층 (남천동)","48314","광안리 관광숙박","20220630102108","U","2022-07-02 02:40:00.0","숙박업(생활)","392342.593352953","185128.903584316","숙박업(생활)","4","4","0","0","0","0","0","6","0","N","0","","","","","0","0","0","0","0","N",
"1756","숙박업","03_11_03_P","3380000","3380000-214-2018-00006","20181112","","01","영업/정상","01","영업","","","","","","154.66","613828","부산광역시 수영구 민락동 34-4","부산광역시 수영구 민락본동로11번길 42, 9층 (민락동)","48290","더폼호스텔","20210210140221","U","2021-02-12 02:40:00.0","숙박업(생활)","393674.813163769","186323.002192638","숙박업(생활)","0","0","0","0","0","0","0","2","0","N","0","","","","","0","0","0","0","0","N",
"1757","숙박업","03_11_03_P","3380000","3380000-214-2021-00001","20210106","","01","영업/정상","01","영업","","","","","","1,029.15","613805","부산광역시 수영구 광안동 201-1 광안 지웰에스테이트 더 테라스","부산광역시 수영구 광남로94번길 16, 광안 지웰에스테이트 더 테라스 3~20층 303호 등 47개호 (광안동)","48303","주식회사 그랜드 테라스","20220318173527","U","2022-03-20 02:40:00.0","숙박업(생활)","392691.625721388","185474.226912741","숙박업(생활)","0","0","3","20","0","0","0","47","0","N","0","","","","","0","0","0","0","0","N",
"1758","숙박업","03_11_03_P","3390000","3390000-201-1978-00361","19780608","","01","영업/정상","01","영업","","","","","051 3044457","89.72","617827","부산광역시 사상구 삼락동 411-35번지","부산광역시 사상구 사상로309번길 38 (삼락동)","46913","성주","20180315171234","I","2018-08-31 23:59:59.0","여관업","380427.881825862","187735.443699829","여관업","3","0","0","0","0","0","13","0","0","N","0","","","","","0","","","0","0","N",
"1759","숙박업","03_11_03_P","3390000","3390000-201-1996-00422","19871106","","01","영업/정상","01","영업","","","","","051 3271784","171.77","617841","부산광역시 사상구 학장동 487-1번지","부산광역시 사상구 학감대로134번길 6 (학장동)","47047","3.6.9 모텔","20180315165932","I","2018-08-31 23:59:59.0","여관업","381144.101827843","184453.662287772","여관업","4","0","3","4","0","0","0","15","0","N","0","","","","","0","","","0","0","N",
"1760","숙박업","03_11_03_P","3390000","3390000-201-2004-00010","20040824","","01","영업/정상","01","영업","","","","","051 3276636","1,234.03","617807","부산광역시 사상구 괘법동 548-10번지","부산광역시 사상구 광장로86번길 9 (괘법동)","46975","센스모텔","20180329154627","I","2018-08-31 23:59:59.0","숙박업 기타","380931.741987272","186508.66985313","숙박업 기타","7","0","1","6","0","0","0","30","0","N","0","","","","","0","","","0","0","N",
"1761","숙박업","03_11_03_P","3390000","3390000-201-2002-00066","19890224","","01","영업/정상","01","영업","","","","","051 3286222","247.68","617800","부산광역시 사상구 감전동 105-11번지","부산광역시 사상구 사상로161번길 55-10 (감전동)","46982","김해빌","20180315170520","I","2018-08-31 23:59:59.0","여관업","380929.006631612","186070.874249755","여관업","3","0","1","3","0","0","0","14","0","N","0","","","","","0","","","0","0","N",
"1762","숙박업","03_11_03_P","3390000","3390000-201-2002-00069","20020117","","01","영업/정상","01","영업","","","","","051 3170896","1,083.50","617841","부산광역시 사상구 학장동 54","부산광역시 사상구 학감대로39번길 49 (학장동)","47055","코코모텔","20220629142616","U","2022-07-01 02:40:00.0","숙박업 기타","381859.513461724","183571.448939751","숙박업 기타","6","0","1","6","0","0","0","31","0","N","0","","","","","0","","","0","0","N",
"1763","숙박업","03_11_03_P","3390000","3390000-201-2001-00033","19930724","","01","영업/정상","01","영업","","","","","051 311 1113","682.15","617807","부산광역시 사상구 괘법동 542-11","부산광역시 사상구 광장로93번길 16 (괘법동)","46967","뉴코리아장","20210621145303","U","2021-06-23 02:40:00.0","여관업","380925.929169403","186726.410263777","여관업","5","1","1","5","0","0","0","28","0","N","0","","","","","0","","","0","0","N",
"1764","숙박업","03_11_03_P","3390000","3390000-201-2016-00004","20160921","","01","영업/정상","01","영업","","","","","051 327 8285","2,262.32","617809","부산광역시 사상구 괘법동 559-4번지","부산광역시 사상구 새벽로223번길 26, 1~9층 (괘법동)","46972","프리미엄아바호텔","20171226101958","I","2018-08-31 23:59:59.0","여관업","380591.7957211","186499.884027411","여관업","9","0","1","9","0","0","0","46","0","N","0","","","","","0","0","0","0","0","N",
"1765","숙박업","03_11_03_P","3390000","3390000-201-2002-00019","20021125","","01","영업/정상","01","영업","","","","","051 717 0360","1,383.40","617814","부산광역시 사상구 덕포동 243-12","부산광역시 사상구 삼덕로45번길 161 (덕포동)","46942","젬모텔","20220318104057","U","2022-03-20 02:40:00.0","숙박업 기타","380591.855850225","188704.288391619","숙박업 기타","7","0","1","6","0","0","0","35","0","N","0","","","","","0","","","0","0","N",
"1766","숙박업","03_11_03_P","3390000","3390000-201-2016-00001","20160518","","01","영업/정상","01","영업","","","","","051 322 2999","1,063.27","617808","부산광역시 사상구 괘법동 526-49번지","부산광역시 사상구 사상로211번길 14-8 (괘법동)","46963","루이스호텔","20200128100826","U","2020-01-30 02:40:00.0","일반호텔","380591.662872661","186799.882522508","일반호텔","7","0","1","6","0","0","0","25","0","N","0","","","","","0","0","0","0","0","N",
"1767","숙박업","03_11_03_P","3390000","3390000-201-2016-00002","20160518","","01","영업/정상","01","영업","","","","","051 322 2999","668.00","617808","부산광역시 사상구 괘법동 526-50번지","부산광역시 사상구 사상로211번길 14-6 (괘법동)","46963","루이스호텔","20200128100541","U","2020-01-30 02:40:00.0","일반호텔","380600.161304305","186787.371918234","일반호텔","8","0","2","7","0","0","0","18","0","N","0","","","","","0","0","0","0","0","N",
"1768","숙박업","03_11_03_P","3390000","3390000-201-2003-00027","20031028","","01","영업/정상","01","영업","","","","","","1,856.05","617804","부산광역시 사상구 감전동 148-9번지","부산광역시 사상구 낙동대로 1050 (감전동)","46990","루이스제이","20180315170712","I","2018-08-31 23:59:59.0","숙박업 기타","379758.482728359","185646.615288328","숙박업 기타","9","0","1","9","0","0","0","32","0","N","0","","","","자가","0","","","0","0","N",
"1769","숙박업","03_11_03_P","3390000","3390000-201-1999-00346","19861216","","01","영업/정상","01","영업","","","","","051 3015897","322.62","617825","부산광역시 사상구 삼락동 51-29번지","부산광역시 사상구 낙동대로1548번길 27 (삼락동)","46901","해운장","20180322114544","I","2018-08-31 23:59:59.0","여관업","380950.671186814","190226.118696669","여관업","4","0","2","4","0","0","14","0","0","N","0","","","","","0","","","0","0","N",
"1770","숙박업","03_11_03_P","3390000","3390000-201-1994-00001","19880325","","01","영업/정상","01","영업","","","","","051 323 9494","124.44","617841","부산광역시 사상구 학장동 553-1번지","부산광역시 사상구 학감대로 125 (학장동)","47049","신신장","20191015134333","U","2019-10-17 02:40:00.0","여관업","381100.795005276","184362.99732168","여관업","4","0","2","3","0","0","0","16","0","N","0","","","","","0","","","0","0","N",
"1771","숙박업","03_11_03_P","3390000","3390000-201-2003-00022","20030901","","01","영업/정상","01","영업","","","","","051311 8513","1,447.60","617800","부산광역시 사상구 감전동 139-28번지","부산광역시 사상구 학감대로237번길 12 (감전동)","46986","NO25호텔(넘버25호텔)","20190228113945","U","2019-03-02 02:40:00.0","일반호텔","381215.6953564","185510.857753319","일반호텔","7","0","1","6","0","0","2","33","0","N","0","","","","자가","0","","","0","0","N",
"1772","숙박업","03_11_03_P","3390000","3390000-201-2002-00053","20021117","","01","영업/정상","01","영업","","","","","051 3139834","1,823.07","617809","부산광역시 사상구 괘법동 569-16","부산광역시 사상구 새벽로223번길 117 (괘법동)","46971","하운드 호텔(사상점)","20210325103824","U","2021-03-27 02:40:00.0","숙박업 기타","380121.513114229","186524.623573378","숙박업 기타","7","0","1","7","0","0","2","33","0","N","0","","","","","0","","","0","0","N",
"1773","숙박업","03_11_03_P","3390000","3390000-201-2019-00001","20191022","","01","영업/정상","01","영업","","","","","051 315 6414","2,288.58","617809","부산광역시 사상구 괘법동 564-14","부산광역시 사상구 새벽로223번길 42, 1~10층 (괘법동)","46972","잠101호텔","20220428114153","U","2022-04-30 02:40:00.0","일반호텔","380503.120871344","186503.740070716","일반호텔","0","0","1","10","","","0","50","0","N","0","","","","","0","0","0","0","0","N",
"1774","숙박업","03_11_03_P","3390000","3390000-201-2001-00035","20000818","","01","영업/정상","01","영업","","","","","051 3125959",".00","617807","부산광역시 사상구 괘법동 542-2","부산광역시 사상구 광장로93번길 24 (괘법동)","46967","아비숑","20201229131131","U","2020-12-31 02:40:00.0","숙박업 기타","380913.09993648","186762.575385806","숙박업 기타","0","0","0","0","0","0","0","30","0","N","0","","","","","0","","","0","0","N",
"1775","숙박업","03_11_03_P","3390000","3390000-201-2000-00035","19880701","","01","영업/정상","01","영업","","","","","051 3263638","472.35","617806","부산광역시 사상구 괘법동 266-5번지","부산광역시 사상구 광장로81번길 96-7 (괘법동)","46964","리베장","20190522163819","U","2019-05-24 02:40:00.0","여관업","380685.273339849","187087.443207586","여관업","4","0","1","4","0","0","0","22","0","N","0","","","","","0","","","0","0","N",
"1776","숙박업","03_11_03_P","3390000","3390000-214-1998-00001","19810723","","01","영업/정상","01","영업","","","","","051 3111538","363.57","617828","부산광역시 사상구 엄궁동 25-66번지","부산광역시 사상구 대동로 26 (엄궁동)","47035","유진힐","20180329154908","I","2018-08-31 23:59:59.0","숙박업(생활)","379853.260064071","183368.572504824","숙박업(생활)","0","0","2","4","0","0","0","15","0","N","0","","","","","0","","","0","0","N",
"1777","숙박업","03_11_03_P","3390000","3390000-214-2002-00002","19951102","","01","영업/정상","01","영업","","","","","051 3176197","1,023.13","617808","부산광역시 사상구 괘법동 524-20","부산광역시 사상구 사상로233번길 10-7 (괘법동)","46963","내츄럴","20211119173358","U","2021-11-21 02:40:00.0","숙박업(생활)","380523.182629502","187027.796730597","숙박업(생활)","5","1","5","5","0","0","0","29","0","N","0","","","","","0","","","0","0","N",
"1778","숙박업","03_11_03_P","3390000","3390000-201-1999-00362","19890707","","01","영업/정상","01","영업","","","","","051 3282876","401.51","617807","부산광역시 사상구 괘법동 545-3","부산광역시 사상구 사상로202번길 24 (괘법동)","46968","힐링장","20200929150630","U","2020-10-01 02:40:00.0","여관업","380833.442903563","186731.164104318","여관업","5","0","2","5","0","0","0","16","0","N","0","","","","","0","","","0","0","N",
"1779","숙박업","03_11_03_P","3390000","3390000-201-2003-00010","20030201","","01","영업/정상","01","영업","","","","","051 3153677","1,281.50","617804","부산광역시 사상구 감전동 166-3번지","부산광역시 사상구 낙동대로1048번길 36 (감전동)","46990","에어텔","20181008131504","U","2018-10-10 02:36:06.0","숙박업 기타","379908.185120568","185534.76873558","숙박업 기타","7","0","1","6","0","0","4","31","0","N","0","","","","","0","","","0","0","N",
"1780","숙박업","03_11_03_P","3390000","3390000-214-2000-00001","19850724","","01","영업/정상","01","영업","","","","","051 3220998","78.00","617807","부산광역시 사상구 괘법동 544-7번지","부산광역시 사상구 광장로87번길 20 (괘법동)","46967","휴","20180315172324","I","2018-08-31 23:59:59.0","숙박업(생활)","380853.219675204","186722.054183359","숙박업(생활)","4","0","2","4","0","0","0","12","0","N","0","","","","","0","","","0","0","N",
"1781","숙박업","03_11_03_P","3390000","3390000-201-1982-00840","19810305","","01","영업/정상","01","영업","","","","","051 3058894","74.20","617815","부산광역시 사상구 덕포동 419-1번지","부산광역시 사상구 사상로319번길 31 (덕포동)","46948","유정마이홈","20180329153109","I","2018-08-31 23:59:59.0","여관업","380475.317281413","187791.754283856","여관업","3","0","2","3","0","0","0","12","0","N","0","","","","","0","","","0","0","N",
"1782","숙박업","03_11_03_P","3390000","3390000-201-2002-00043","20020425","","01","영업/정상","01","영업","","","","","051 3140111","1,205.40","617808","부산광역시 사상구 괘법동 526-17번지","부산광역시 사상구 사상로211번길 30 (괘법동)","46963","SS(에스에스)모텔","20180427115108","I","2018-08-31 23:59:59.0","숙박업 기타","380515.537970774","186776.957550486","숙박업 기타","7","0","1","6","0","0","3","32","0","N","0","","","","","0","","","0","0","N",
"1783","숙박업","03_11_03_P","3390000","3390000-201-2002-00050","20020610","","01","영업/정상","01","영업","","","","","051 3113032","1,756.60","617809","부산광역시 사상구 괘법동 566-4번지","부산광역시 사상구 새벽로223번길 91 (괘법동)","46971","헤라","20191211173820","U","2019-12-13 02:40:00.0","숙박업 기타","380257.653762992","186504.064082501","숙박업 기타","7","0","1","6","0","0","2","38","0","N","0","","","","","0","","","0","0","N",
"1784","숙박업","03_11_03_P","3390000","3390000-201-2002-00074","20020708","","01","영업/정상","01","영업","","","","","051 316 2222","2,251.60","617829","부산광역시 사상구 엄궁동 155-4","부산광역시 사상구 낙동대로 717 (엄궁동)","47033","짝모텔","20210316174441","U","2021-03-19 02:40:00.0","숙박업 기타","379292.823413031","182537.879002669","숙박업 기타","8","0","1","8","0","0","3","36","0","N","0","","","","","0","","","0","0","N",
"1785","숙박업","03_11_03_P","3390000","3390000-214-1997-00001","19880216","","01","영업/정상","01","영업","","","","","051 3272705","166.83","617807","부산광역시 사상구 괘법동 544-1번지","부산광역시 사상구 사상로202번길 26 (괘법동)","46967","힐하우스","20190329100400","U","2019-03-31 02:40:00.0","숙박업(생활)","380847.842391","186740.955458922","숙박업(생활)","4","0","2","4","0","0","0","18","0","N","0","","","","","0","","","0","0","N",
"1786","숙박업","03_11_03_P","3390000","3390000-201-2002-00073","20020401","","01","영업/정상","01","영업","","","","","051 3154834","1,960.10","617831","부산광역시 사상구 엄궁동 385-3번지","부산광역시 사상구 낙동대로 753-17 (엄궁동)","47032","브라운도트호텔 엄궁점","20200103151911","U","2020-01-05 02:40:00.0","숙박업 기타","379387.537632616","182827.96684303","숙박업 기타","8","0","1","7","0","0","2","40","0","N","0","","","","","0","","","0","0","N",
"1787","숙박업","03_11_03_P","3390000","3390000-201-2002-00063","19860508","","01","영업/정상","01","영업","","","","","051 3240833","596.07","617803","부산광역시 사상구 감전동 144-7번지 4층","부산광역시 사상구 새벽로137번길 40, 4층 (감전동)","46989","명천비지네스텔여관","20180329154222","I","2018-08-31 23:59:59.0","여관업","380372.029441272","185660.243134977","여관업","5","0","4","4","0","0","0","23","0","N","0","","","","","0","","","0","0","N",
"1788","숙박업","03_11_03_P","3390000","3390000-201-1999-00350","19890220","","01","영업/정상","01","영업","","","","","051 3053645","754.08","617822","부산광역시 사상구 모라동 979-2","부산광역시 사상구 모라로 69 (모라동)","46919","호텔979","20210609132218","U","2021-06-11 02:40:00.0","숙박업 기타","381062.614731064","189485.880281193","숙박업 기타","4","0","2","4","0","0","0","22","0","N","0","","","","","0","","","0","0","N",
"1789","숙박업","03_11_03_P","3390000","3390000-201-1978-00362","19780201","","01","영업/정상","01","영업","","","","","051 3152632","81.11","617802","부산광역시 사상구 감전동 130-12번지","부산광역시 사상구 새벽로167번길 11-4 (감전동)","46980","토마토 모텔","20180807090040","I","2018-08-31 23:59:59.0","여관업","380578.210947585","185886.429259455","여관업","3","0","2","3","0","0","0","12","0","N","0","","","","","0","","","0","0","N",
"1790","숙박업","03_11_03_P","3390000","3390000-201-1985-00845","19850105","","01","영업/정상","01","영업","","","","","051 3221514","494.77","617807","부산광역시 사상구 괘법동 545-21번지","부산광역시 사상구 광장로87번길 7 (괘법동)","46968","천우장","20180315171919","I","2018-08-31 23:59:59.0","여관업","380848.444194852","186658.013563729","여관업","4","0","1","4","0","0","0","18","0","N","0","","","","","0","","","0","0","N",
"1791","숙박업","03_11_03_P","3390000","3390000-201-1999-00357","19870529","","01","영업/정상","01","영업","","","","","051 3261658","166.32","617809","부산광역시 사상구 괘법동 584-8번지","부산광역시 사상구 사상로161번길 34 (괘법동)","46974","발렌타인모텔","20190515140712","U","2019-05-17 02:40:00.0","숙박업 기타","380886.198504063","186179.452117413","숙박업 기타","4","0","2","4","0","0","0","18","0","N","0","","","","","0","","","0","0","N",
"1792","숙박업","03_11_03_P","3390000","3390000-201-1987-00782","19870314","","01","영업/정상","01","영업","","","","","051 3253120","382.19","617807","부산광역시 사상구 괘법동 543-1번지","부산광역시 사상구 광장로93번길 14 (괘법동)","46967","압구정","20180329153205","I","2018-08-31 23:59:59.0","여관업","380933.026202334","186710.309003842","여관업","4","0","2","4","0","0","0","17","0","N","0","","","","","0","","","0","0","N",
"1793","숙박업","03_11_03_P","3390000","3390000-201-2003-00011","20030201","","01","영업/정상","01","영업","","","","","051 3173691","1,301.40","617829","부산광역시 사상구 엄궁동 485","부산광역시 사상구 낙동대로 759-12 (엄궁동)","47032","썸호텔","20220607155451","U","2022-06-09 02:40:00.0","숙박업 기타","379444.414316647","182879.381469685","숙박업 기타","8","0","1","7","0","0","1","35","0","N","0","","","","","0","","","0","0","N",
"1794","숙박업","03_11_03_P","3390000","3390000-201-1980-00844","19801212","","01","영업/정상","01","영업","","","","","051 3111837","91.00","617809","부산광역시 사상구 괘법동 582-4번지","부산광역시 사상구 사상로181번길 82 (괘법동)","46973","허니문","20180419145204","I","2018-08-31 23:59:59.0","여관업","380773.192923072","186104.483419025","여관업","4","0","2","3","0","0","0","11","0","N","0","","","","","0","","","0","0","N",
"1795","숙박업","03_11_03_P","3390000","3390000-201-2000-00030","19850726","","01","영업/정상","01","영업","","","","","051 3229293","170.24","617807","부산광역시 사상구 괘법동 550-13","부산광역시 사상구 사상로170번길 16 (괘법동)","46975","삼성장","20211224104700","U","2021-12-26 02:40:00.0","여관업","380970.724061263","186465.897711585","여관업","3","0","1","3","0","0","0","17","0","N","0","","","","","0","","","0","0","N",
"1796","숙박업","03_11_03_P","3390000","3390000-201-2002-00051","20020801","","01","영업/정상","01","영업","","","","","051 3114788","1,726.60","617808","부산광역시 사상구 괘법동 527-6","부산광역시 사상구 사상로211번길 62 (괘법동)","46970","맥스호텔","20200910151121","U","2020-09-12 02:40:00.0","숙박업 기타","380347.808343172","186811.493342439","숙박업 기타","7","0","1","6","0","0","1","34","0","N","0","","","","","0","","","0","0","N",
"1797","숙박업","03_11_03_P","3390000","3390000-201-2001-00040","19880409","","01","영업/정상","01","영업","","","","","051 3151628","177.63","617800","부산광역시 사상구 감전동 107-5번지","부산광역시 사상구 사상로147번길 29 (감전동)","46982","파크장","20171226102337","I","2018-08-31 23:59:59.0","여관업","381008.286851618","186121.374224459","여관업","4","0","2","4","0","0","0","18","0","N","0","","","","","0","","","0","0","N",
"1798","숙박업","03_11_03_P","3390000","3390000-201-2002-00014","19780411","","01","영업/정상","01","영업","","","","","051 3023553","188.29","617823","부산광역시 사상구 모라동 707-13번지","부산광역시 사상구 사상로456번길 8 (모라동)","46925","창신","20180329154018","I","2018-08-31 23:59:59.0","여관업","380945.619336854","189128.264422783","여관업","2","0","0","0","0","0","0","18","0","N","0","","","","","0","","","0","0","N",
"1799","숙박업","03_11_03_P","3390000","3390000-201-2003-00012","20030409","","01","영업/정상","01","영업","","","","","051 3177042","1,038.10","617808","부산광역시 사상구 괘법동 526-23번지","부산광역시 사상구 사상로211번길 22 (괘법동)","46963","비너스모텔","20180315171021","I","2018-08-31 23:59:59.0","숙박업 기타","380550.433424523","186778.934379825","숙박업 기타","7","0","1","6","0","0","1","38","0","N","0","","","","","0","","","0","0","N",
"1800","숙박업","03_11_03_P","3390000","3390000-201-2005-00003","20050830","","01","영업/정상","01","영업","","","","","051 314 5610","919.40","617806","부산광역시 사상구 괘법동 272-1","부산광역시 사상구 사상로 224 (괘법동)","46964","비치모텔","20210701113802","U","2021-07-03 02:40:00.0","숙박업 기타","380649.173187303","186887.374273103","숙박업 기타","11","1","7","10","0","0","0","23","0","N","0","","","","임대","0","","","0","0","N",
